#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
m,gateway,host,node,owner,value,_time
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-25T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,317,2022-10-25T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,321,2022-10-25T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,325,2022-10-25T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,325,2022-10-25T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-25T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,333,2022-10-25T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-25T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,333,2022-10-25T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,325,2022-10-25T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,325,2022-10-25T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,317,2022-10-25T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-25T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-25T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,302,2022-10-25T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,299,2022-10-25T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-26T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-26T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,292,2022-10-26T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,292,2022-10-26T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-26T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,285,2022-10-26T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,250,2022-10-26T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-26T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-26T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,250,2022-10-26T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,250,2022-10-26T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-26T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,258,2022-10-26T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,258,2022-10-26T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-26T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,255,2022-10-26T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-26T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,242,2022-10-26T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,244,2022-10-26T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,239,2022-10-26T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,237,2022-10-26T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,237,2022-10-26T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,234,2022-10-26T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,230,2022-10-26T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,227,2022-10-27T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,223,2022-10-27T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,221,2022-10-27T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,223,2022-10-27T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,219,2022-10-27T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,214,2022-10-27T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,223,2022-10-27T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,223,2022-10-27T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,232,2022-10-27T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,234,2022-10-27T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-27T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-27T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-27T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,288,2022-10-27T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,285,2022-10-27T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,282,2022-10-27T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,282,2022-10-27T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,278,2022-10-27T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,278,2022-10-27T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,282,2022-10-27T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,282,2022-10-27T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,278,2022-10-27T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,282,2022-10-27T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,272,2022-10-27T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,275,2022-10-28T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,269,2022-10-28T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,272,2022-10-28T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,266,2022-10-28T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,266,2022-10-28T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,269,2022-10-28T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,263,2022-10-28T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,272,2022-10-28T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,272,2022-10-28T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,275,2022-10-28T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,278,2022-10-28T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,272,2022-10-28T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,269,2022-10-28T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,272,2022-10-28T13:00:00Z
