#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
m,gateway,host,node,owner,value,_time
Temperature,1,mqtt.angizehco.com,4,toossab,32.39,2022-10-23T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.29,2022-10-23T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.19,2022-10-24T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.99,2022-10-24T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.89,2022-10-24T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.79,2022-10-24T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.69,2022-10-24T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.69,2022-10-24T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.77,2022-10-24T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.84,2022-10-24T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.9,2022-10-24T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32,2022-10-24T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.08,2022-10-24T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.16,2022-10-24T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.21,2022-10-24T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.6,2022-10-24T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.74,2022-10-24T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.82,2022-10-24T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.84,2022-10-24T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.9,2022-10-24T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.9,2022-10-24T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.91,2022-10-24T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.69,2022-10-24T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.59,2022-10-24T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.45,2022-10-24T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.39,2022-10-24T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.29,2022-10-25T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.19,2022-10-25T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.06,2022-10-25T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.99,2022-10-25T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.1,2022-10-25T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.19,2022-10-25T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.2,2022-10-25T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.2,2022-10-25T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.34,2022-10-25T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.43,2022-10-25T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.4,2022-10-25T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.39,2022-10-25T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.41,2022-10-25T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.43,2022-10-25T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.4,2022-10-25T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.37,2022-10-25T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.29,2022-10-25T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.29,2022-10-25T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.2,2022-10-25T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.19,2022-10-25T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.09,2022-10-25T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.09,2022-10-25T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.99,2022-10-26T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.9,2022-10-26T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.89,2022-10-26T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.79,2022-10-26T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.8,2022-10-26T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.9,2022-10-26T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32,2022-10-26T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32,2022-10-26T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.1,2022-10-26T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.19,2022-10-26T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.29,2022-10-26T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.3,2022-10-26T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.4,2022-10-26T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.4,2022-10-26T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.49,2022-10-26T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.39,2022-10-26T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.39,2022-10-26T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.29,2022-10-27T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.19,2022-10-27T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.19,2022-10-27T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.09,2022-10-27T03:00:00Z
