,m,gateway,host,node,owner,value,_time
0,#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
274,Humidity,1,mqtt.angizehco.com,4,toossab,21,2022-10-26T17:00:00Z
275,Humidity,1,mqtt.angizehco.com,4,toossab,20.99,2022-10-26T18:00:00Z
276,Humidity,1,mqtt.angizehco.com,4,toossab,19.99,2022-10-26T19:00:00Z
277,Humidity,1,mqtt.angizehco.com,4,toossab,19.97,2022-10-26T20:00:00Z
278,Humidity,1,mqtt.angizehco.com,4,toossab,19.99,2022-10-27T08:00:00Z
279,Humidity,1,mqtt.angizehco.com,4,toossab,20,2022-10-27T09:00:00Z
280,Humidity,1,mqtt.angizehco.com,4,toossab,19.99,2022-10-27T11:00:00Z
281,Humidity,1,mqtt.angizehco.com,4,toossab,20,2022-10-27T18:00:00Z
282,Humidity,1,mqtt.angizehco.com,4,toossab,20.01,2022-10-27T19:00:00Z
283,Humidity,1,mqtt.angizehco.com,4,toossab,20.99,2022-10-27T20:00:00Z
284,Humidity,1,mqtt.angizehco.com,4,toossab,21,2022-10-27T21:00:00Z
285,Humidity,1,mqtt.angizehco.com,4,toossab,21,2022-10-27T22:00:00Z
286,Humidity,1,mqtt.angizehco.com,4,toossab,20.98,2022-10-27T23:00:00Z
287,Humidity,1,mqtt.angizehco.com,4,toossab,21,2022-10-28T11:00:00Z
288,Humidity,1,mqtt.angizehco.com,4,toossab,23.97,2022-10-28T12:00:00Z
289,Humidity,1,mqtt.angizehco.com,4,toossab,22.99,2022-10-28T13:00:00Z
290,Humidity,1,mqtt.angizehco.com,4,toossab,21.99,2022-10-28T14:00:00Z
291,Humidity,1,mqtt.angizehco.com,4,toossab,20.98,2022-10-28T19:00:00Z
292,Humidity,1,mqtt.angizehco.com,4,toossab,19.99,2022-10-28T20:00:00Z
293,Humidity,1,mqtt.angizehco.com,4,toossab,19,2022-10-29T01:00:00Z
294,Humidity,1,mqtt.angizehco.com,4,toossab,18.99,2022-10-29T02:00:00Z
295,Humidity,1,mqtt.angizehco.com,4,toossab,19,2022-10-29T05:00:00Z
296,Humidity,1,mqtt.angizehco.com,4,toossab,18.99,2022-10-29T10:00:00Z
297,Humidity,1,mqtt.angizehco.com,4,toossab,19.97,2022-10-29T17:00:00Z
298,Humidity,1,mqtt.angizehco.com,4,toossab,20.01,2022-10-29T20:00:00Z
299,Humidity,1,mqtt.angizehco.com,4,toossab,21,2022-10-29T22:00:00Z
300,Humidity,1,mqtt.angizehco.com,4,toossab,22.01,2022-10-30T03:00:00Z
